SYMBOL,Security Name
RAVALSUGAR,The Ravalgaon Sugar Farm Ltd
SAKHTISUG,SAKTHI SUGARS LTD.
WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.
IFBAGRO,IFB AGRO INDUSTRIES LTD.
KFBL,KOTHARI FERMENTATION & BIOCHEM LTD.
CAPRO,CAPROLACTAM CHEMICALS LTD.
GMBREW,G.M.BREWERIES LTD.
RANASUG,RANA SUGARS LTD.
PICCASUG,PICCADILY SUGAR & ALLIED INDUSTRIES LTD.
SDBL,SOM DISTILLERIES & BREWERIES LTD.
CJGEL,C.J.GELATINE PRODUCTS LTD.
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.
THAKKERS,Thakkers Group Ltd
CORAGRO,COROMANDEL AGRO PRODUCTS & OILS LTD.
FOODSIN,FOODS & INNS LTD.
IVP,IVP LTD.
KLRFM,Kovilpatti Lakshmi Roller Flour Mills Ltd
OLYOI,OLYMPIC OIL INDUSTRIES LTD.
MLKFOOD,MILKFOOD LTD.
POLSON,POLSON LTD.
SAGRSOY-B,SAGAR SOYA PRODUCTS LTD.
WIPRO,WIPRO LTD.
ORIBEVER,ORIENT BEVERAGES LTD.
DHANUKA,DHANUKA AGRITECH LTD.
TTKHLTCARE,TTK HEALTHCARE LTD.-$
TGVSL,TGV Sraac Ltd
LIMECHM,LIME CHEMICALS LTD.
KANPRPLA,KANPUR PLASTIPACK LTD.
TAINWALCHM,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.
KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.
UNTTEMI,UNITED LEASING & INDUSTRIES LTD.
NOL,NATIONAL OXYGEN LTD.
GILLETTE,GILLETTE INDIA LTD.
WIREFABR,WIRES & FABRIKS (SA) LTD.
ANSALHSG,Ansal Housing Ltd-$
COMPUPN,COMPUTER POINT LTD.
MCCHRLS-B,MAC CHARLES (INDIA) LTD.
ADDIND,ADDI INDUSTRIES LTD.-$
PIONRINV,PIONEER INVESTCORP LTD.
ASHNOOR,ASHNOOR TEXTILE MILLS LTD.
UNITECH,UNITECH LTD.
VIPIND,V.I.P.INDUSTRIES LTD.-$
FIBERWEB,FIBERWEB (INDIA) LTD.
LKPFIN,LKP Finance Limited
EASTBUILD,EAST BUILDTECH LTD.
MNPLFIN,MANIPAL FINANCE CORPORATION LTD.
BAJAJST,BAJAJ STEEL INDUSTRIES LTD.
KIDUJA,KIDUJA INDIA LTD.
KEYCORP,KEY CORP LTD.
SHIKHARLETR,SHIKHAR LEASING & TRADING LTD.
GUJHOTE,GUJARAT HOTELS LTD.
RASRESOR,RAS RESORTS & APART HOTELS LTD.
PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.
JINDHOT,JINDAL HOTELS LTD.
JPTRLES,JUPITER INDUSTRIES & LEASING LTD.
SIMMOND,SIMMONDS MARSHALL LTD.
BNALTD,B & A LTD.
HAWKINCOOK,HAWKINS COOKERS LTD.-$
WARRENTEA,WARREN TEA LTD.-$
COCHMAL,COCHIN MALABAR ESTATES & INDUSTRIES LTD.
BESTEAST,BEST EASTERN HOTELS LTD.
NEAGI,NEELAMALAI AGRO INDUSTRIES LTD.
ISTLTD,IST LTD.
COSMOFIRST,Cosmo First Ltd
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.
NITINCAST,Nitin Castings Ltd
SMIFS,SMIFS CAPITAL MARKETS LTD.
EVERESTIND,EVEREST INDUSTRIES LTD.
IRONWOOD,Ironwood Education Ltd
MSRINDIA,MSR INDIA LTD.
AYMSYNTEX,AYM Syntex Ltd
PANCARBON,PANASONIC CARBON INDIA CO.LTD.-$
FINKURVE,Finkurve Financial Services Ltd
HBLEAS,HB LEASING & FINANCE CO.LTD.
SHRICON,SHRICON INDUSTRIES LTD.
TRUSTWAVE,Trustwave Securities Ltd
SULABEN,SULABH ENGINEERS & SERVICES LTD.
FRONTCAP,Frontier Capital Ltd
NAVNETEDUL,Navneet Education Limited
KEDIACN,KEDIA CONSTRUCTION CO.LTD.
TRANOCE,TRANSOCEANIC PROPERTIES LTD.
AUSOMENT,AuSom Enterprise Limited
THAKRAL,THAKRAL SERVICES (INDIA) LTD.
RUCHINFRA,RUCHI INFRASTRUCTURE LTD.
VJTFEDU,VJTF EDUSERVICES LTD.
VOLLF,VOLTAIRE LEASING & FINANCE LTD.
NETLINK,NETLINK SOLUTIONS (INDIA) LTD.
TRILIANCE,Triliance Polymers Ltd
LANCORHOL,LANCOR HOLDINGS LTD.
INDINFO,INDIAN INFOTECH & SOFTWARE LTD.
BANASFN,BANAS FINANCE LTD.
VISAKAIND,VISAKA INDUSTRIES LTD.
HATHWAYB,HATHWAY BHAWANI CABLETEL & DATACOM LTD.
GUFICBIO,GUFIC BIOSCIENCES LTD.
PHOTON,PHOTON CAPITAL ADVISORS LTD.
GRPLTD,GRP LTD.
INDAG,INDAG RUBBER LTD.-$
MMRUBBR-B,MM RUBBER COMPANY LTD.
PTL,PTL ENTERPRISES LTD.-$
TVSSRICHAK,TVS SRICHAKRA LTD.-$
SEL,Sanathnagar Enterprises Limited
BENARAS,BENARES HOTELS LTD.
BHAGWOX,BHAGWATI OXYGEN LTD.
BOMOXY-B1,Bombay Oxygen Investments Ltd
CRAVATEX,CRAVATEX LTD.
BERGEPAINT,BERGER PAINTS INDIA LTD.
CAPRIHANS,CAPRIHANS INDIA LTD.-$
GRAPHITE,GRAPHITE INDIA LTD.
ITDCEM,ITD CEMENTATION INDIA LTD.
EMPIND,EMPIRE INDUSTRIES LTD.
GRAVISSHO,GRAVISS HOSPITALITY LTD.
GARFIBRES,Garware Technical Fibres Ltd
GARWAMAR,GARWARE MARINE INDUSTRIES LTD.
GOACARBON,GOA CARBON LTD.-$
HARDCAS,HARDCASTLE & WAUD MFG.CO.LTD.
HEG,HEG LTD.
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.
ZHINDHSG,HINDUSTAN HOUSING CO.LTD.
HIL,HIL LTD.
INDIANCARD,INDIAN CARD CLOTHING CO.LTD.
INTLCONV,INTERNATIONAL CONVEYORS LTD.
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD.
KOTIC,KOTHARI INDUSTRIAL CORPORATION LTD.
MODRNSH,MODERN SHARES & STOCKBROKERS LTD.
OSEASPR,OSEASPRE CONSULTANTS LTD.
HUHTAMAKI,Huhtamaki India Ltd
PREMSYN,PREMIER SYNTHETICS LTD.
RJSHAH,R.J.SHAH & CO.LTD.
SHAHCON,SHAH CONSTRUCTION CO.LTD.
SHALPAINTS,SHALIMAR PAINTS LTD.-$
SINNAR,SINNAR BIDI UDYOG LTD.
HINDMILL,HINDOOSTAN MILLS LTD.
ZSOUTGAS,SOUTHERN GAS LTD.
TECHCON,TECHNOJET CONSULTANTS LTD.
SUPREMEIND,SUPREME INDUSTRIES LTD.
THACKER,THACKER & CO.LTD.
UPHOT,U.P.HOTELS LTD.
VSTIND,VST INDUSTRIES LTD.
SWASTIVI,SWASTI VINAYAKA SYNTHETICS LTD.
MADHUSE,MADHUSUDAN SECURITIES LTD.
YAMNINV,YAMINI INVESTMENTS COMPANY LTD.
PREMCAP,PREMIER CAPITAL SERVICES LTD.
ZMILGFIN,Milgrey Finance & Investments Ltd
JINDRILL,JINDAL DRILLING & INDUSTRIES LTD.
KUSUMEL,KUSAM ELECTRICAL INDUSTRIES LTD.
JUMBFNL,JUMBO FINANCE LTD.
SAKTHIFIN,SAKTHI FINANCE LTD.
EASYFIN,Easy Fincorp Ltd
SATINDLTD,SAT INDUSTRIES LTD.-$
JMDVL,JMD Ventures Ltd
TVOLCON,TIVOLI CONSTRUCTION LTD.
SHIVATEX,SHIVA TEXYARN LTD.
VBDESAI,V.B.DESAI FINANCIAL SERVICES LTD.
QUADRANT,Quadrant Televentures Limited-$
1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.
KAMANWALA,KAMANWALA HOUSING CONSTRUCTION LTD.
WSFX,WSFx Global Pay Ltd
ANJANIFOODS,Anjani Foods Ltd
RKDAGRRTL,RKD Agri & Retail Ltd
PARSHWANA,PARSHWANATH CORPORATION LTD.
RAJVI,Rajvi Logitrade Ltd
MILLENNIUM,Millennium Online Solutions ( India ) Ltd
ICDSLTD,ICDS LTD.
CANFINHOME,CAN FIN HOMES LTD.
MUNCAPM,MUNOTH CAPITAL MARKET LTD.
IVC,IL&FS INVESTMENT MANAGERS LTD.
SHRIRAMFIN,Shriram Finance Ltd
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd
SAGARSYST,SAGAR SYSTECH LTD.
IDINFO,ID Info Business Services Ltd
VLSFINANCE,VLS FINANCE LTD.
INDCEMCAP,INDIA CEMENTS CAPITAL LTD.
ADMANUM,AD-MANUM FINANCE LTD.
MEHIF,MEHTA INTEGRATED FINANCE LTD.
INTRGLB,INTER GLOBE FINANCE LTD.
MCLTD,Munoth Communication Ltd
SHRISTI,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.
CREST,CREST VENTURES LIMITED
VAKRANGEE,Vakrangee Limited-$
GUJCRED,GUJARAT CREDIT CORPORATION LTD.
SYLPH,SYLPH TECHNOLOGIES LTD.
DHARFIN,DHARANI FINANCE LTD.
ALEXANDER,Alexander Stamps And Coin Ltd
INDBANK,INDBANK MERCHANT BANKING SERVICES LTD.
SHRYDUS,Shrydus Industries Ltd
BHARAT,BHARAT BHUSHAN SHARE & COMMODITY BROKERS LTD.
CAPTRUST,CAPITAL TRUST LTD.
USHAKIRA,USHAKIRAN FINANCE LTD.
VIVOBIOT,VIVO BIO TECH LTD.
VEERHEALTH,Veerhealth Care Limited
PANINDIAC,PAN INDIA CORPORATION LTD.
SAHARAHOUS,SAHARA HOUSINGFINA CORPORATION LTD.
NDASEC,NDA SECURITIES LTD.
GSBFIN,GSB FINANCE LTD.
MORARKFI,MORARKA FINANCE LTD.
MONARCH,Monarch Networth Capital Ltd
PROFINC,PRO FIN CAPITAL SERVICES LTD.
TIMESGTY,TIMES GUARANTY LTD.
SANCF,SANCHAY FINVEST LTD.
SODFC,SOM DATT FINANCE CORPORATION LTD.
REGTRUS,REGENCY TRUST LTD.
AVONMORE,Avonmore Capital & Management Services Limited
LIBORDFIN,Libord Finance Ltd
YASHMGM,YASH MANAGEMENT & SATELLITE LTD.
ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD.
ISLCONSUL,ISL CONSULTING LTD.
DCMFINSERV,DCM FINANCIAL SERVICES LTD.
RRFIN,RR FINANCIAL CONSULTANTS LTD.
FEDDERSHOL,Fedders Holding Ltd
SAMBHAAV,SAMBHAAV MEDIA LTD.
OMEGAIN,OMEGA INTERACTIVE TECHNOLOGIES LTD.
SUGALDAM,SUGAL & DAMANI SHARE BROKERS LTD.
NETTLINX,NETTLINX LTD.
BGIL,BGIL FILMS & TECHNOLOGIES LTD.
SCANSTL,Scan Steels Limited
GICHSGFIN,GIC HOUSING FINANCE LTD.
AJCON,AJCON GLOBAL SERVICES LTD.
CHRTEDCA,CHARTERED CAPITAL & INVESTMENT LTD.
STANCAP,STANDARD CAPITAL MARKETS LTD.
YOGI,YOGI Ltd
CUBIFIN,CUBICAL FINANCIAL SERVICES LTD.
RELICTEC,RELIC TECHNOLOGIES LTD.
NIMBSPROJ,NIMBUS PROJECTS LTD.
BAIDFIN,Baid Finserv Ltd
VIPULLTD,VIPUL LTD.
KZLFIN,K.Z.LEASING & FINANCE LTD.
PASUFIN,PASUPATI FINCAP LTD.
MEHTAHG,MEHTA HOUSING FINANCE LTD.
UGROCAP,Ugro Capital Ltd
SAHLIBHFI,SHALIBHADRA FINANCE LTD.
ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.
MANSIFIN,MANSI FINANCE (CHENNAI) LTD.
SEVENHILL,Seven Hill Industries Limited
AASTAFIN,Aastamangalam Finance Ltd
MUTHOOTCAP,MUTHOOT CAPITAL SERVICES LTD.
MASTERTR,MASTER TRUST LTD.
ZNILKENG,NILKANTH ENGINEERING LTD.
EFCIL,EFC (I) Ltd
SOBME,SOBHAGYA MERCHANTILE LTD.
CNIRESLTD,CNI RESEARCH LTD.
ZSARACOM,SARASWATI COMMERCIAL (INDIA) LTD.
WINROC,WINRO COMMERCIAL (INDIA) LTD.
INERTIAST,INERTIA STEEL LTD.
PHTRADING,PH TRADING LTD.
KAPILCO,KAPIL COTEX LTD.
TCC,TCC Concept Ltd
ROYALIND,Royal India Corporation Limited
LUHARUKA,Luharuka Media & Infra Ltd
SHYAM,VENTURA GUARANTY LTD.
ZSANMCOM,SANMITRA COMMERCIAL LTD.
WARDHEALTH,Wardwizard Healthcare Ltd
VISVEN,Vishvprabha Ventures Ltd
MRUTR,MRUGESH TRADING LTD.
DECNGOLD,DECCAN GOLD MINES LTD.
UPL,UPL Limited
NIBEORD,Nibe Ordnance and Maritime Ltd
CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.
SAICOM,Saianand Commercial Limited
EY,Eyantra Ventures Ltd
TRIPR,TRIOCHEM PRODUCTS LTD.
NIDHGRN,NIDHI GRANITES LTD.
ROSEMER,ROSE MERC.LTD.
TWIROST,TWIN ROSES TRADES & AGENCIES LTD.
SIGIND,Signet Industries Limited
KAJALSY,KAJAL SYNTHETICS & SILK MILLS LTD.
AVANCE,AVANCE TECHNOLOGIES LTD.
MLINDLTD,M Lakhamsi Industries Ltd
TERRAREAL,Terraform Realstate Limited
SECURKLOUD,Securekloud Technologies Ltd
ABANSENT,Abans Enterprises Ltd
VAMA,VAMA INDUSTRIES LTD.
SUNTECK,SUNTECK REALTY LTD.
BENTCOM,BENTLEY COMMERCIAL ENTERPRISES LTD.
SILVERO,SILVER OAK COMMERCIAL LTD.
CLASELE,CLASSIC ELECTRICALS LTD.
PRISMMEDI,PRISM MEDICO AND PHARMACY LTD.
SPVGLOBAL,SPV Global Trading Ltd
VERITAS,VERITAS (INDIA) LTD.
JAICORPLTD,JAI CORP LTD.
ZNIVITRD,NIVI TRADING LTD.
ASHCAP,ASHIRWAD CAPITAL LTD.
SVARTCORP,Swasti Vinayaka Art And Heritage Corporation Ltd
BAJGLOB,BAJAJ GLOBAL LTD.
MMWL,MEDIA MATRIX WORLDWIDE LTD.
TASHIND,TASHI INDIA LTD.
AUTOINT,AUTORIDERS INTERNATIONAL LTD.
ZSPEEDCO,SPEEDAGE COMMERCIALS LTD.
BHAGYANGR,BHAGYANAGAR INDIA LTD.
CHMBBRW,CHAMBAL BREWERIES & DISTILLERIES LTD.
ZMANSOON,MANSOON TRADING CO.LTD.
SGMART,SG Mart Ltd
CESL,CES Limited
ARAVALIS,ARAVALI SECURITIES & FINANCE LTD.
YASTF,YASH TRADING & FINANCE LTD.
ZSHERAPR,SHERATON PROPERTIES & FINANCE LTD.
MAGANTR,MAGNANIMOUS TRADE & FINANCE LTD.
CRESSAN,CRESSANDA SOLUTIONS LTD.
STARTECK,Starteck Finance Ltd
SHARDUL,SHARDUL SECURITIES LTD.
SERA,Sera Investments & Finance India Ltd
BENGALS,BENGAL STEEL INDUSTRIES LTD.
UNIWSEC,UNIWORTH SECURITIES LTD.
MERCTRD,MERCURY TRADE LINKS LTD.
NIRAVCOM,NIRAV COMMERCIALS LTD.
WHITHAL,WHITE HALL COMMERCIAL CO.LTD.
ASUTENT,ASUTOSH ENTERPRISES LTD.
APOLLOFI,APOLLO FINVEST (INDIA) LTD.
ENBETRD,ENBEE TRADE & FINANCE LTD.
GANONPRO,Ganon Products Ltd
DEVITRD,DEVINSU TRADING LTD.
SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.
LLOYDSME,LLOYDS METALS AND ENERGY LTD.
PUNCTRD,PUNCTUAL TRADING LTD.
LLOYDSENT,Lloyds Enterprises Ltd
BETXIND,BETEX INDIA LTD.
VIRYA,Virya Resources Ltd
DHANCOT,DHANLAXMI COTEX LTD.
OASISEC,OASIS SECURITIES LTD.
GARNETINT,GARNET INTERNATIONAL LTD.
SHALPRO,SHALIMAR PRODUCTIONS LTD.
MEENST,MEENAKSHI STEEL INDUSTRIES LTD.
VARUNME,VARUN MERCANTILE LTD.
VINVANI,VINAYAK VANIJYA LTD.
DONEAR,DONEAR INDUSTRIES LTD.-$
SUPER,SUPER SALES INDIA LTD.-$
SEQUENT,SEQUENT SCIENTIFIC LTD.
STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.
ZENITHEXPO,ZENITH EXPORTS LTD.
KOHINOOR,KOHINOOR FOODS LTD.
NEELKANTH,Neelkanth Ltd-$
AVANTIFEED,AVANTI FEEDS LTD.-$
ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.
SITAENT,SITA ENTERPRISES LTD.
PULSRIN,PULSAR INTERNATIONAL LTD.
MANBRO,Manbro Industries Ltd
KEYFINSERV,Keynote Financial Services Ltd
ADANIENT,ADANI ENTERPRISES LTD.
ASTALLTD,Astal Laboratories Ltd
BHANDARI,BHANDARI HOSIERY EXPORTS LTD.
RLF,RLF LTD.
REGENTRP,Regent Enterprises Ltd
ORBTEXP,ORBIT EXPORTS LTD.
SAVERA,SAVERA INDUSTRIES LTD.
CHROME,Chrome Silicon Ltd-$
ZJEETMAC,JEET MACHINE TOOLS LTD.
NAVA,Nava Ltd
ZHINUDYP,HINDUSTHAN UDYOG LTD.
REMIEDEL,Remi Edelstahl Tubulars Limited
GSAUTO,G.S.AUTO INTERNATIONAL LTD.
TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.
SBCL,SHIVALIK BIMETAL CONTROLS LTD.
GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$
AMFORG,AMFORGE INDUSTRIES LTD.
ORICONENT,ORICON ENTERPRISES LTD.-$
ACROW,ACROW INDIA LTD.
STLSTRINF,STEEL STRIPS INFRASTRUCTURES LTD.
PENIND,PENNAR INDUSTRIES LTD.-$
JYOTISTRUC,JYOTI STRUCTURES LTD.
JAYUSH,JAY USHIN LTD.
SSWL,STEEL STRIPS WHEELS LTD.-$
MANINDS,MAN INDUSTRIES (INDIA) LTD.-$
IMEC,Imec Services Ltd
MDRNSTL,MODERN STEELS LTD.-$
SYNTHFO,SYNTHIKO FOILS LTD.
GOLKONDA,Golkonda Aluminium Extrusions Ltd-$
GUJTLRM,GUJARAT TOOLROOM LTD.
AJMERA,AJMERA REALTY & INFRA INDIA LTD.
COCHINM,COCHIN MINERALS & RUTILE LTD.-$
ISWL,INDIA STEEL WORKS LTD.
KVFORGE,Krishanveer Forge Ltd
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.
MMTC,MMTC LTD.
VALLABHSQ,VALLABH STEELS LTD.-$
ASHIS,ASHIANA ISPAT LTD.
PMTELELIN,P.M.TELELINNKS LTD.
SMFIL,Smiths & Founders (India) Limited
BLOIN,BLOOM INDUSTRIES LTD.
SHAHALLOYS,SHAH ALLOYS LTD.
ELANGO,ELANGO INDUSTRIES LTD.
KANSHST,KANISHK STEEL INDUSTRIES LTD.
MAHALXSE,MAHALAXMI SEAMLESS LTD.-$
SIMPLEXCAS,SIMPLEX CASTINGS LTD.
SSWRL,SHREE STEEL WIRE ROPES LTD.
SIZEMASTER,Sizemasters Technology Ltd
SOUTHMG,SOUTHERN MAGNESIUM & CHEMICALS LTD.
BAROEXT,BARODA EXTRUSION LTD.
GUJCONT,GUJARAT CONTAINERS LTD.
KALYANIFRG,KALYANI FORGE LTD.
PANCHMAHQ,PANCHMAHAL STEEL LTD.
ADITYA,ADITYA ISPAT LTD.
STEELCAS,STEELCAST LTD.
PITTIENG,Pitti Engineering Ltd-$
GLITTEKG,GLITTEK GRANITES LTD.
PRADPME,PRADEEP METALS LTD.
GNRL,Gujarat Natural Resources Limited
TNSTLTU,TAMILNADU STEEL TUBES LTD.
SHRDAIS,SHARDA ISPAT LTD.
MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.
NOVIS,NOVA IRON & STEEL LTD.
STERPOW,Sterling Powergensys Limited
FFPL,FOUNDRY FUEL PRODUCTS LTD.
HINDCOPPER,HINDUSTAN COPPER LTD.
TULSYAN,TULSYAN NEC LTD.-$
AXELPOLY,AXEL POLYMERS LTD.
NLCINDIA,NLC India Ltd
SPECTRA,SPECTRA INDUSTRIES LTD.
KAJARIR,KIC METALIKS LTD.
SOLIDSTON,SOLID STONE COMPANY LTD.
SHILGRAVQ,SHILP GRAVURES LTD.-$
WHITEORG,White Organic Agro Ltd
MFSINTRCRP,MFS INTERCORP LTD.
AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$
RUDRAECO,Rudra Ecovation Ltd
RAJKSYN,RAJKAMAL SYNTHETICS LTD.
DEEPAKSP,DEEPAK SPINNERS LTD.-$
LOYALTEX,LOYAL TEXTILE MILLS LTD.-$
HIMATSEIDE,HIMATSINGKA SEIDE LTD.
BSL,BSL LTD.
MARKOBENZ,Markobenz Ventures Ltd
PBMPOLY,PBM POLYTEX LTD.-$
ADINATH,ADINATH TEXTILES LTD.
KONARKSY,KONARK SYNTHETIC LTD.
SURYALA,SURYALATA SPINNING MILLS LTD.-$
SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$
TTL,T T LTD.-$
WELSPUNLIV,Welspun Living Ltd
INDIANACRY,INDIAN ACRYLICS LTD.
GANECOS,GANESHA ECOSPHERE LTD.
CEETAIN,CEETA INDUSTRIES LTD.
VARDMNPOLY,VARDHMAN POLYTEX LTD.
RISHYRN,RISHAB SPECIAL YARNS LTD.
BLACKROSE,BLACK ROSE INDUSTRIES LTD.
STCORP,S&T CORPORATION LTD.
SUMEETINDS,SUMEET INDUSTRIES LTD.-$
RAMGOPOLY,RAMGOPAL POLYTEX LTD.
SANGAMIND,SANGAM (INDIA) LTD.
TTLEL,TTL Enterprises Ltd
MKVENTURES,Mkventures Capital Ltd
KUSHIND,Kush Industries Ltd
SRECR,SREECHEM RESINS LTD.
SURBHIN,SURBHI INDUSTRIES LTD.
SEASONST,SEASONS TEXTILES LTD.-$
ZENIFIB,ZENITH FIBRES LTD.-$
BHILSPIN,BHILWARA SPINNERS LTD.
AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.
SANTETX,SANRHEA TECHNICAL TEXTILES LTD.
ASHIMASYN,ASHIMA LTD.
PIONEEREMB,PIONEER EMBROIDERIES LTD.-$
VIPPYSP,VIPPY SPINPRO LTD.
JAIHINDS,JAIHIND SYNTHETICS LTD.
RAGHUSYN,RAGHUVIR SYNTHETICS LTD.
JATTAINDUS,JATTASHANKAR INDUSTIES LTD.
KAMADGIRI,KAMADGIRI FASHION LTD.-$
OMNITEX,OMNITEX INDUSTRIES (INDIA) LTD.
PATSPINLTD,PATSPIN INDIA LTD.
ONEGLOBAL,One Global Service Provider Ltd
NEOINFRA,NEO INFRACON LTD.
WINSOME,WINSOME YARNS LTD.
PREMIERPOL,PREMIER POLYFILM LTD.
EVERFIN,Everlon Financials Ltd
KRRAIL,K&R Rail Engineering Ltd
YARNSYN,YARN SYNDICATE LTD.
GUJCOTEX,GUJARAT COTEX LTD.
GARWSYN,GARWARE SYNTHETICS LTD.
ECOHOTELS,Eco Hotels And Resorts Ltd
MANORG,Mangalam Organics Limited
HINDADH,HINDUSTAN ADHESIVES LTD.
BPAGRI,Blue Pearl Agriventures Ltd
SRIKPRIND,SRI KPR INDUSTRIES LTD.
LSIND,LS INDUSTRIES LTD.
JYOTIRES,JYOTI RESINS & ADHESIVES LTD.
MHLXMIRU,MAHALAXMI RUBTECH LTD.
SOUTLAT,SOUTHERN LATEX LTD.
OSWAYRN,OSWAL YARNS LTD.
WINSOMTX,WINSOME TEXTILE INDUSTRIES LTD.-$
MODINSU,MODERN INSULATORS LTD.
REGENCERAM,REGENCY CERAMICS LTD.
ASAHIINDIA,ASAHI INDIA GLASS LTD.
MURUDCERA,MURUDESHWAR CERAMICS LTD.
SAINTGOBAIN,SAINT-GOBAIN SEKURIT INDIA LTD.
ANANTRAJ,Anant Raj Limited-$
MADHUDIN,MADHUSUDAN INDUSTRIES LTD.
RESTILE,RESTILE CERAMICS LTD.
MADHAV,MADHAV MARBLES & GRANITES LTD.
RAMASIGNS,Ramasigns Industries Ltd
HALDYNGL,Haldyn Glass Ltd-$
DUROPLY,Duroply Industries Ltd
SHREYANIND,SHREYANS INDUSTRIES LTD.-$
STARPAPER,STAR PAPER MILLS LTD.
PAKKA,Pakka Ltd-$
TAHMARENT,Tahmar Enterprises Ltd
NATPLY,NATIONAL PLYWOOD INDUSTRIES LTD.
ARROWGREEN,Arrow Greentech Ltd
VISHNU,VISHNU CHEMICALS LTD.
JUMBO,JUMBO BAG LTD.
NRAIL,N.R.AGARWAL INDUSTRIES LTD.
3PLAND,3P Land Holdings Ltd
SANPA,SANGAL PAPERS LTD.
VENTURA,VENTURA TEXTILES LTD.
SHKARTP,SHREE KARTHIK PAPERS LTD.
STHINPA,SOUTH INDIA PAPER MILLS LTD.
FAMILYCARE,Family Care Hospitals Ltd
VINDHYATEL,VINDHYA TELELINKS LTD.
RIR,RIR Power Electronics Ltd
ADORWELD,ADOR WELDING LTD.
SALZERELEC,SALZER ELECTRONICS LTD.-$
JETKINGQ,JETKING INFOTRAIN LTD.
APLAB,APLAB LTD.-$
PCS,PCS TECHNOLOGY LTD.
USHAMART,USHA MARTIN LTD.
SPELS,SPEL SEMICONDUCTOR LTD.
SUBROS,SUBROS LTD.
EDVENSWA,Edvenswa Enterprises Ltd
PERVASIVE,Pervasive Commodities Ltd
HONAUT,HONEYWELL AUTOMATION INDIA LTD.
SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER LTD.
LUMAXIND,LUMAX INDUSTRIES LTD.
DIGISPICE,Digispice Technologies Ltd-$
CALCOM,CALCOM VISION LTD.
DYNAVSN,DYNAVISION LTD.
BCCFUBA,BCC FUBA INDIA LTD.
PRECISIO,PRECISION ELECTRONICS LTD.
HBLPOWER,HBL POWER SYSTEMS LTD.-$
S&SPOWER,S&S POWER SWITCHGEAR LTD.
GUJARATPOLY,Gujarat Poly Electronics Ltd
GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.
MOTHERSON,Samvardhana Motherson International Ltd
MINDTECK,MINDTECK (INDIA) LTD.
HAVELLS,HAVELLS INDIA LTD.
ACIIN,ACI INFOCOM LTD.
SBECSYS,SBEC SYSTEMS (INDIA) LTD.
INCAP,INCAP LTD.
GUJINTRX,GUJARAT INTRUX LTD.-$
IGARASHI,IGARASHI MOTORS INDIA LTD.
SYMPHONY,Symphony Limited
VINTRON,VINTRON INFORMATICS LTD.
PANELEC,PAN ELECTRONICS INDIA LTD.
VXLINSTR,VXL INSTRUMENTS LTD.
SHYAMTEL,SHYAM TELECOM LTD.
LEENEE,LEE & NEE SOFTWARES (EXPORTS) LTD.
PATELSAI,PATELS AIRTEMP (INDIA) LTD.
BUTTERFLY,Butterfly Gandhimathi Appliances Ltd
INTEGSW,INTEGRA SWITCHGEAR LTD.
ATHENAGLO,Athena Global Technologies Ltd-$
NARMP,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.
DUTRON,DUTRON POLYMERS LTD.-$
RSSOFTWARE,R.S.SOFTWARE INDIA LTD.
MAGNAELQ,MAGNA ELECTRO CASTINGS LTD.-$
MARSONS,MARSONS LIMITED
ELNET,ELNET TECHNOLOGIES LTD.-$
ACCEL,Accel Ltd
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.
ROTO,ROTO PUMPS LTD.
TTKPRESTIG,TTK PRESTIGE LTD.
DHINDIA,D&H India Ltd-$
RAJRATAN,RAJRATAN GLOBAL WIRE LTD.
SURANAT&P,Surana Telecom And Power Limited
ONWARDTEC,ONWARD TECHNOLOGIES LTD.
CENTUM,CENTUM ELECTRONICS LTD.
